 21,032.00 
 21,022.00 
 21,019.54 
 20,999.44 
 20,998.28 
 20,998.18
 20,996.92 
 20,955.05 
 20,954.10 
 20,944.00 
 20,943.05 
 20,933.03 
 20,932.08 
 20,889.80 
 20,847.54 
 20,805.64 
 20,763.36 
 20,721.46 
 20,679.55 
 20,637.59 
 20,597.24 
 20,556.05 
 20,514.99 
 20,474.34 
 20,434.14 
 20,393.49 
 20,352.69 
 20,311.73 
 20,270.81 
 20,229.81 
 20,188.63 
 20,147.66 
 20,106.88 
 20,065.68 
 20,025.16 
 20,004.97 
 19,964.12 
 19,923.27 
 19,882.42 
 19,842.22 
 19,801.31 
 19,761.12 
 19,720.85 
 19,679.96 
 19,639.19 
 19,598.52 
 19,557.52 
 19,516.94 
 19,476.26 
 19,435.65 
 19,395.51 
 19,355.17 
 19,314.11 
 19,273.40 
 19,232.89 
 19,192.12 
 19,151.14 
 19,110.53 
 19,069.60 
 19,028.80 
 18,988.27 
 18,947.66 
 18,907.04 
 18,866.42 
 18,825.62 
 18,784.75 
 18,744.10 
 18,703.42 
 18,663.00 
 18,622.50 
 18,582.03 
 18,541.26 
 18,500.37 
 18,459.70 
 18,419.16 
 18,378.66 
 18,338.37 
 18,297.57 
 18,256.85 
 18,216.06 
 18,175.56 
 18,134.86 
 18,094.03 
 18,052.98 
 18,032.89 
 17,991.97 
 17,950.98 
 17,910.25 
 17,870.18 
 17,829.99 
 17,789.11 
 17,748.11 
 17,707.17 
 17,666.41 
 17,625.65 
 17,585.94 
 17,585.54 
 17,545.09 
